Date,Open,High,Low,Close,Adj Close,Volume,Maturity Month,Maturity Year,Maturity Date
"May 17, 2024",490.75,493,487.25,487.5,487.5,"2,125",12,25,12/15/2025
"May 16, 2024",494.25,495.75,490.25,490.75,490.75,"2,125",12,25,12/15/2025
"May 15, 2024",496.5,499.5,493,494.75,494.75,"5,204",12,25,12/15/2025
"May 14, 2024",495.75,499,495.75,497,497,"3,469",12,25,12/15/2025
"May 13, 2024",497,499,495.25,496.75,496.75,"6,674",12,25,12/15/2025
"May 10, 2024",492,498.5,492,498.25,498.25,"4,824",12,25,12/15/2025
"May 09, 2024",492,495,490.5,492.75,492.75,"3,854",12,25,12/15/2025
"May 08, 2024",496.25,496.25,491.5,492.75,492.75,"2,678",12,25,12/15/2025
"May 07, 2024",495.75,498.25,494.25,496.75,496.75,"2,971",12,25,12/15/2025
"May 06, 2024",493.5,497.75,490,496.5,496.5,"2,763",12,25,12/15/2025
"May 03, 2024",490.5,495.5,490.5,494,494,"4,055",12,25,12/15/2025
"May 02, 2024",486,491.25,486,491,491,"3,334",12,25,12/15/2025
"May 01, 2024",483.75,487.25,481.5,486.5,486.5,603,12,25,12/15/2025
"Apr 30, 2024",485,487.5,482.75,484.75,484.75,"1,222",12,25,12/15/2025
"Apr 29, 2024",487.5,488,484.75,486.5,486.5,752,12,25,12/15/2025
"Apr 26, 2024",489,489.75,487,487.75,487.75,"1,975",12,25,12/15/2025
"Apr 25, 2024",486.5,490,484.5,489.75,489.75,"1,358",12,25,12/15/2025
"Apr 24, 2024",488,489.75,485,487,487,"1,464",12,25,12/15/2025
"Apr 23, 2024",489,491,487.25,488.25,488.25,"2,211",12,25,12/15/2025
"Apr 22, 2024",484.25,490,482.75,489.25,489.25,"1,548",12,25,12/15/2025
"Apr 19, 2024",479.5,485,479,484.5,484.5,783,12,25,12/15/2025
"Apr 18, 2024",484,484.75,479.25,480.25,480.25,937,12,25,12/15/2025
"Apr 17, 2024",486.5,488,484.5,485,485,705,12,25,12/15/2025
"Apr 16, 2024",488.75,489.25,486,487.25,487.25,"1,019",12,25,12/15/2025
