Date,Open,High,Low,Close,Adj Close,Volume,Maturity Month,Maturity Year,Maturity Date
"May 29, 2024",509.25,510,504,505,505,"1,904",7,25,07/15/2025
"May 28, 2024",512,515.25,507.5,509.75,509.75,"1,904",7,25,07/15/2025
"May 27, 2024",-,-,-,-,-,-,7,25,07/15/2025
"May 24, 2024",510,512.5,509.75,511.5,511.5,"1,520",7,25,07/15/2025
"May 23, 2024",509.25,512,505.75,510.25,510.25,"2,513",7,25,07/15/2025
"May 22, 2024",508,511.5,506.75,508.5,508.5,"2,557",7,25,07/15/2025
"May 21, 2024",509,510.25,505.75,508.25,508.25,"2,731",7,25,07/15/2025
"May 20, 2024",502.75,511.25,502.75,509.75,509.75,"2,218",7,25,07/15/2025
"May 17, 2024",508,510.5,502.75,503.25,503.25,"2,405",7,25,07/15/2025
"May 16, 2024",511.75,514.25,507,508,508,"3,162",7,25,07/15/2025
"May 15, 2024",515.5,520,511,512.25,512.25,"4,165",7,25,07/15/2025
"May 14, 2024",516,519.75,514.75,515.75,515.75,"3,607",7,25,07/15/2025
"May 13, 2024",513.25,518,511,516.5,516.5,"3,947",7,25,07/15/2025
"May 10, 2024",508.25,515.25,508,515,515,"4,769",7,25,07/15/2025
"May 09, 2024",508,512.25,506,507.75,507.75,"3,844",7,25,07/15/2025
"May 08, 2024",513.25,513.75,507.25,508.75,508.75,"3,810",7,25,07/15/2025
"May 07, 2024",511.75,514.75,510.25,513.75,513.75,"4,188",7,25,07/15/2025
"May 06, 2024",508.5,513.75,504.25,512.75,512.75,"5,297",7,25,07/15/2025
"May 03, 2024",505.25,511.5,505.25,509.25,509.25,"7,924",7,25,07/15/2025
"May 02, 2024",499,506.75,499,506.5,506.5,"4,369",7,25,07/15/2025
"May 01, 2024",498,501.75,494.75,501.25,501.25,"2,323",7,25,07/15/2025
"Apr 30, 2024",501,502.25,497,499,499,"4,066",7,25,07/15/2025
"Apr 29, 2024",502.25,502.75,498.5,501.5,501.5,"7,018",7,25,07/15/2025
"Apr 26, 2024",505,505.5,501.5,502.25,502.25,"10,828",7,25,07/15/2025
"Apr 25, 2024",499,505.75,498.5,505.5,505.5,"8,803",7,25,07/15/2025
"Apr 24, 2024",498,501,497,500.5,500.5,"6,929",7,25,07/15/2025
"Apr 23, 2024",496.75,500.25,496.5,498.75,498.75,"1,863",7,25,07/15/2025
"Apr 22, 2024",489.25,498,488,497.5,497.5,"2,580",7,25,07/15/2025
"Apr 19, 2024",485.25,491.25,484.5,491.25,491.25,"1,200",7,25,07/15/2025
"Apr 18, 2024",488.75,488.75,484.5,485.25,485.25,"1,420",7,25,07/15/2025
"Apr 17, 2024",491.75,493,489.5,489.75,489.75,"1,026",7,25,07/15/2025
"Apr 16, 2024",493.75,494.5,490.75,492.25,492.25,"2,172",7,25,07/15/2025
"Apr 15, 2024",496.75,496.75,492,494.5,494.5,421,7,25,07/15/2025
"Apr 12, 2024",490.75,497.5,489.75,496.75,496.75,"1,466",7,25,07/15/2025
"Apr 11, 2024",493.25,496,490.5,491.5,491.5,"3,298",7,25,07/15/2025
"Apr 10, 2024",490.5,493.25,490.5,493.25,493.25,"1,655",7,25,07/15/2025
"Apr 09, 2024",495.25,495.25,490.25,491.5,491.5,"1,651",7,25,07/15/2025
"Apr 08, 2024",494.75,497.5,493,496.75,496.75,"1,444",7,25,07/15/2025
"Apr 05, 2024",494.25,498,493.25,495.75,495.75,"1,396",7,25,07/15/2025
"Apr 04, 2024",494.75,495.25,491.75,494.75,494.75,857,7,25,07/15/2025
"Apr 03, 2024",492.25,494.25,489.75,493.5,493.5,"1,223",7,25,07/15/2025
"Apr 02, 2024",493.25,496,488.5,491.5,491.5,"1,481",7,25,07/15/2025
"Apr 01, 2024",495.75,496.25,492.5,495.75,495.75,951,7,25,07/15/2025
"Mar 28, 2024",485.25,500,483,497.5,497.5,"3,236",7,25,07/15/2025
"Mar 27, 2024",490,490.25,485,485.5,485.5,330,7,25,07/15/2025
"Mar 26, 2024",496.5,497,490.5,491.25,491.25,623,7,25,07/15/2025
"Mar 25, 2024",498,500.25,496.75,498,498,462,7,25,07/15/2025
