Date,Open,High,Low,Close,Adj Close,Volume,Maturity Month,Maturity Year,Maturity Date
"May 17, 2024",494.5,497.75,489,489.5,489.5,"9,571",3,25,03/15/2025
"May 16, 2024",499,501.5,493.5,494.75,494.75,"9,571",3,25,03/15/2025
"May 15, 2024",502.75,508.25,498,499.25,499.25,"15,216",3,25,03/15/2025
"May 14, 2024",503,507.25,502.25,503,503,"11,567",3,25,03/15/2025
"May 13, 2024",501.25,506.5,498.5,504.25,504.25,"14,072",3,25,03/15/2025
"May 10, 2024",493,503.5,493,503.5,503.5,"15,271",3,25,03/15/2025
"May 09, 2024",493,497.25,490.75,493,493,"11,094",3,25,03/15/2025
"May 08, 2024",499.75,500.25,492.75,494,494,"11,402",3,25,03/15/2025
"May 07, 2024",500,502.75,497.5,500.25,500.25,"13,593",3,25,03/15/2025
"May 06, 2024",493.75,500.75,489.75,500,500,"15,851",3,25,03/15/2025
"May 03, 2024",491.75,498.25,491.25,495.25,495.25,"17,424",3,25,03/15/2025
"May 02, 2024",485,492.75,485,492.25,492.25,"12,968",3,25,03/15/2025
"May 01, 2024",483,487,479.75,486.5,486.5,"8,889",3,25,03/15/2025
"Apr 30, 2024",485,487,481.25,483.5,483.5,"10,576",3,25,03/15/2025
"Apr 29, 2024",486,487.5,483,486.25,486.25,"4,512",3,25,03/15/2025
"Apr 26, 2024",488.75,490,486.25,486.75,486.75,"6,722",3,25,03/15/2025
"Apr 25, 2024",485.25,489.75,484,489.5,489.5,"8,849",3,25,03/15/2025
"Apr 24, 2024",486.75,489.25,484.75,486,486,"7,890",3,25,03/15/2025
"Apr 23, 2024",484.75,488,484.25,487,487,"6,499",3,25,03/15/2025
"Apr 22, 2024",477.75,486,476,485.25,485.25,"6,807",3,25,03/15/2025
"Apr 19, 2024",472.75,479.25,472.5,479,479,"6,119",3,25,03/15/2025
"Apr 18, 2024",477.25,477.5,472.25,473,473,"4,380",3,25,03/15/2025
"Apr 17, 2024",480,481.25,477.5,477.75,477.75,"2,929",3,25,03/15/2025
"Apr 16, 2024",482.5,483,478.5,480.25,480.25,"4,985",3,25,03/15/2025
"Apr 15, 2024",484,484.25,480,482.5,482.5,"2,140",3,25,03/15/2025
"Apr 12, 2024",478.75,486,477.5,485,485,"4,280",3,25,03/15/2025
"Apr 11, 2024",482.5,486.75,478.5,479.25,479.25,"6,563",3,25,03/15/2025
"Apr 10, 2024",480.75,483.75,480.75,483,483,"6,580",3,25,03/15/2025
"Apr 09, 2024",486,486,480,481.5,481.5,"7,490",3,25,03/15/2025
"Apr 08, 2024",484.5,487.5,482.75,486,486,"5,145",3,25,03/15/2025
"Apr 05, 2024",485.25,488.5,483,485.25,485.25,"5,424",3,25,03/15/2025
"Apr 04, 2024",484.75,486,481.75,485.5,485.5,"8,313",3,25,03/15/2025
"Apr 03, 2024",482,484.75,479.5,484,484,"4,389",3,25,03/15/2025
"Apr 02, 2024",487,488,479,481,481,"8,638",3,25,03/15/2025
"Apr 01, 2024",489,489.25,484.5,487.25,487.25,"6,351",3,25,03/15/2025
"Mar 28, 2024",476,493,474.25,490,490,"14,187",3,25,03/15/2025
"Mar 27, 2024",481.75,481.75,475.75,476,476,"3,669",3,25,03/15/2025
"Mar 26, 2024",487.5,488,481,481.75,481.75,"4,066",3,25,03/15/2025
"Mar 25, 2024",488,491,487.5,488.5,488.5,"2,517",3,25,03/15/2025
"Mar 22, 2024",489.75,490.25,486,489,489,"1,912",3,25,03/15/2025
"Mar 21, 2024",488.75,493.5,487.5,490.5,490.5,"6,756",3,25,03/15/2025
"Mar 20, 2024",485,489.5,484.75,488.75,488.75,"8,069",3,25,03/15/2025
"Mar 19, 2024",483.5,486.75,482.75,486.5,486.5,"4,565",3,25,03/15/2025
"Mar 18, 2024",483.25,486,481,483.5,483.5,"3,297",3,25,03/15/2025
"Mar 15, 2024",480,485,478.25,483.5,483.5,"3,405",3,25,03/15/2025
"Mar 14, 2024",484.75,487.75,479.75,480.5,480.5,"4,367",3,25,03/15/2025
"Mar 13, 2024",484,487.25,481.5,485.75,485.75,"5,234",3,25,03/15/2025
"Mar 12, 2024",485,487.75,482,485.25,485.25,"3,606",3,25,03/15/2025
"Mar 11, 2024",482,486.25,479,485.25,485.25,"5,629",3,25,03/15/2025
"Mar 08, 2024",481,484.25,477,484.25,484.25,"5,795",3,25,03/15/2025
"Mar 07, 2024",473.75,481.5,473.25,481.5,481.5,"5,080",3,25,03/15/2025
"Mar 06, 2024",471.75,474.5,471.25,474,474,"4,651",3,25,03/15/2025
"Mar 05, 2024",475.75,476.75,471.5,472.75,472.75,"3,790",3,25,03/15/2025
"Mar 04, 2024",469.5,478.25,469.5,476.5,476.5,"3,914",3,25,03/15/2025
"Mar 01, 2024",475,477.75,469.5,473,473,"6,996",3,25,03/15/2025
"Feb 29, 2024",475.75,477.5,471.5,475.75,475.75,"2,804",3,25,03/15/2025
"Feb 28, 2024",473.5,477,471.75,475.75,475.75,"3,078",3,25,03/15/2025
"Feb 27, 2024",469,475.5,468.75,473.25,473.25,"3,256",3,25,03/15/2025
"Feb 26, 2024",463,470.75,459.5,470.25,470.25,"6,360",3,25,03/15/2025
"Feb 23, 2024",467,470.5,461,463.5,463.5,"6,507",3,25,03/15/2025
"Feb 22, 2024",468.5,473,465,467.25,467.25,"6,136",3,25,03/15/2025
"Feb 21, 2024",474,474.75,468.75,470,470,"4,354",3,25,03/15/2025
"Feb 20, 2024",470,475,469.5,474.75,474.75,"2,095",3,25,03/15/2025
"Feb 16, 2024",467,470.5,467,470.5,470.5,"4,278",3,25,03/15/2025
"Feb 15, 2024",475,475.5,467.5,468,468,"5,990",3,25,03/15/2025
"Feb 14, 2024",481.25,481.25,473.75,475.5,475.5,"3,419",3,25,03/15/2025
"Feb 13, 2024",480,483,479.5,481.25,481.25,940,3,25,03/15/2025
"Feb 12, 2024",479.75,482,478.75,480.75,480.75,"1,090",3,25,03/15/2025
"Feb 09, 2024",482.75,485,478.5,479.5,479.5,903,3,25,03/15/2025
"Feb 08, 2024",484,485.25,480,483.5,483.5,"1,505",3,25,03/15/2025
"Feb 07, 2024",488,488.5,483.75,485,485,"2,472",3,25,03/15/2025
"Feb 06, 2024",488,492,487.75,488.5,488.5,"2,625",3,25,03/15/2025
"Feb 05, 2024",486.75,489.75,486,488.5,488.5,676,3,25,03/15/2025
"Feb 02, 2024",488.75,490,485.75,487.25,487.25,"1,535",3,25,03/15/2025
"Feb 01, 2024",490.75,490.75,487,490,490,"2,461",3,25,03/15/2025
"Jan 31, 2024",491,491.75,488.25,491.5,491.5,739,3,25,03/15/2025
"Jan 30, 2024",484.75,491.75,484.25,491.75,491.75,923,3,25,03/15/2025
"Jan 29, 2024",487.75,488,482.75,486,486,"1,336",3,25,03/15/2025
"Jan 26, 2024",491,491.5,486.75,487.5,487.5,662,3,25,03/15/2025
"Jan 25, 2024",492.25,493.25,488.25,492,492,874,3,25,03/15/2025
"Jan 24, 2024",487.75,493.25,487.75,493.25,493.25,"1,049",3,25,03/15/2025
"Jan 23, 2024",487.5,491,486.75,488.75,488.75,623,3,25,03/15/2025
"Jan 22, 2024",487.5,489,486,487.75,487.75,493,3,25,03/15/2025
"Jan 19, 2024",486.5,490.75,486,487.25,487.25,"1,207",3,25,03/15/2025
"Jan 18, 2024",485.5,488,482.25,487,487,"2,101",3,25,03/15/2025
"Jan 17, 2024",488.25,491,485.25,486,486,"1,462",3,25,03/15/2025
"Jan 16, 2024",492.25,494.75,487.25,488.25,488.25,959,3,25,03/15/2025
"Jan 12, 2024",499.5,501,487.5,492.75,492.75,"2,185",3,25,03/15/2025
"Jan 11, 2024",501,503.75,498.25,500.5,500.5,"1,081",3,25,03/15/2025
"Jan 10, 2024",503.75,504.25,499.75,503,503,795,3,25,03/15/2025
"Jan 09, 2024",499.5,503.75,497.5,503.75,503.75,"1,120",3,25,03/15/2025
"Jan 08, 2024",505,505.25,497,500,500,"1,288",3,25,03/15/2025
"Jan 05, 2024",508.75,510,503.5,504.75,504.75,"1,131",3,25,03/15/2025
"Jan 04, 2024",508.5,511.5,507.25,509.5,509.5,698,3,25,03/15/2025
"Jan 03, 2024",509,510.75,508.25,509.5,509.5,"1,227",3,25,03/15/2025
"Jan 02, 2024",512,512.5,507.5,509.25,509.25,589,3,25,03/15/2025
"Dec 29, 2023",514.75,516.25,513.75,514.25,514.25,486,3,25,03/15/2025
"Dec 28, 2023",516.5,518.75,514.75,515.5,515.5,207,3,25,03/15/2025
"Dec 27, 2023",520,520.25,516,517.25,517.25,695,3,25,03/15/2025
"Dec 26, 2023",514.75,520.75,513.75,520.25,520.25,270,3,25,03/15/2025
"Dec 22, 2023",514,515.75,513,515.5,515.5,443,3,25,03/15/2025
"Dec 21, 2023",513,515.5,512.25,514.75,514.75,427,3,25,03/15/2025
"Dec 20, 2023",513.75,515.75,511,512.5,512.5,730,3,25,03/15/2025
"Dec 19, 2023",518,518.25,513.5,513.75,513.75,"1,324",3,25,03/15/2025
"Dec 18, 2023",520.5,521.25,517,518.25,518.25,221,3,25,03/15/2025
"Dec 15, 2023",518,523,518,522.25,522.25,726,3,25,03/15/2025
"Dec 14, 2023",519.5,521.5,517.5,518.75,518.75,426,3,25,03/15/2025
"Dec 13, 2023",521,521.5,516.75,517.75,517.75,258,3,25,03/15/2025
"Dec 12, 2023",520,523.5,520,521.75,521.75,226,3,25,03/15/2025
"Dec 11, 2023",522.75,524.25,519.25,521,521,307,3,25,03/15/2025
"Dec 08, 2023",522.5,526,521.25,522.75,522.75,658,3,25,03/15/2025
"Dec 07, 2023",519,524,518.75,523.25,523.25,814,3,25,03/15/2025
"Dec 06, 2023",525.5,527.5,518.75,520.25,520.25,"1,335",3,25,03/15/2025
"Dec 05, 2023",523,527,522.5,526.25,526.25,526,3,25,03/15/2025
"Dec 04, 2023",522.25,526.5,521.25,523.75,523.75,"1,347",3,25,03/15/2025
"Dec 01, 2023",522.25,527,520,524.5,524.5,561,3,25,03/15/2025
"Nov 30, 2023",517,523,516.25,522.75,522.75,558,3,25,03/15/2025
"Nov 29, 2023",516.25,518.75,514.25,518.5,518.5,461,3,25,03/15/2025
"Nov 28, 2023",514.25,517.25,513.25,516.25,516.25,528,3,25,03/15/2025
"Nov 27, 2023",520.75,520.75,513,514.5,514.5,606,3,25,03/15/2025
"Nov 24, 2023",523.25,524.25,520,520.75,520.75,284,3,25,03/15/2025
"Nov 23, 2023",-,-,-,-,-,-,3,25,03/15/2025
"Nov 22, 2023",523.5,528,523,523.75,523.75,517,3,25,03/15/2025
"Nov 21, 2023",522.5,528,522,525.25,525.25,258,3,25,03/15/2025
"Nov 20, 2023",520.75,523,518.5,522.75,522.75,193,3,25,03/15/2025
"Nov 17, 2023",525.5,525.5,520.75,521.75,521.75,291,3,25,03/15/2025
"Nov 16, 2023",523,526.25,518.5,526,526,447,3,25,03/15/2025
"Nov 15, 2023",528,530,520.75,522.75,522.75,237,3,25,03/15/2025
"Nov 14, 2023",527.25,529,525,528.5,528.5,384,3,25,03/15/2025
"Nov 13, 2023",516.75,528,514.25,528,528,"1,038",3,25,03/15/2025
"Nov 10, 2023",519.5,520,515,517.25,517.25,636,3,25,03/15/2025
"Nov 09, 2023",525.25,525.25,517.75,520,520,388,3,25,03/15/2025
"Nov 08, 2023",521,526.25,520.75,525.25,525.25,543,3,25,03/15/2025
"Nov 07, 2023",525.25,526.25,519.75,520.75,520.75,164,3,25,03/15/2025
"Nov 06, 2023",528.5,529.75,526.75,528.25,528.25,401,3,25,03/15/2025
"Nov 03, 2023",520.75,529.75,519.25,528.25,528.25,507,3,25,03/15/2025
"Nov 02, 2023",522.25,526.75,521,521.5,521.5,531,3,25,03/15/2025
"Nov 01, 2023",523.75,523.75,519.5,522,522,360,3,25,03/15/2025
"Oct 31, 2023",522,525.25,521,523.5,523.5,201,3,25,03/15/2025
"Oct 30, 2023",521.25,523,521,522,522,208,3,25,03/15/2025
"Oct 27, 2023",519.75,523.5,518.5,522,522,335,3,25,03/15/2025
"Oct 26, 2023",522.25,523,519,520.25,520.25,462,3,25,03/15/2025
"Oct 25, 2023",523.75,525.75,517.75,521.75,521.75,420,3,25,03/15/2025
"Oct 24, 2023",528.5,528.5,523.75,524.25,524.25,250,3,25,03/15/2025
"Oct 23, 2023",529.25,532,528.25,528.75,528.75,240,3,25,03/15/2025
"Oct 20, 2023",534.75,538.25,529.75,530.75,530.75,476,3,25,03/15/2025
"Oct 19, 2023",528.25,536.25,525.75,535.75,535.75,619,3,25,03/15/2025
"Oct 18, 2023",526.5,530,526.5,528.5,528.5,295,3,25,03/15/2025
"Oct 17, 2023",527.25,528.25,526,527,527,52,3,25,03/15/2025
