Date,Open,High,Low,Close,Adj Close,Volume,Maturity Month,Maturity Year,Maturity Date
"May 29, 2024",504.75,508,504.75,507.5,507.5,-,5,26,05/15/2026
"May 28, 2024",507.25,507.25,507.25,507.25,507.25,-,5,26,05/15/2026
"May 27, 2024",-,-,-,-,-,-,5,26,05/15/2026
"May 24, 2024",509.75,509.75,509.75,509.75,509.75,-,5,26,05/15/2026
"May 23, 2024",507.75,507.75,507.75,507.75,507.75,-,5,26,05/15/2026
"May 22, 2024",506.75,506.75,506.75,506.75,506.75,13,5,26,05/15/2026
"May 21, 2024",504.5,506.75,504.5,506.75,506.75,9,5,26,05/15/2026
"May 20, 2024",507.5,507.5,507.5,507.5,507.5,3,5,26,05/15/2026
"May 17, 2024",507,507,503.75,503.75,503.75,8,5,26,05/15/2026
"May 16, 2024",506.75,507,506.75,507,507,8,5,26,05/15/2026
"May 15, 2024",510.75,510.75,510.75,510.75,510.75,26,5,26,05/15/2026
"May 14, 2024",514.25,514.25,513.25,513.25,513.25,19,5,26,05/15/2026
"May 13, 2024",512.75,512.75,512.75,512.75,512.75,2,5,26,05/15/2026
"May 10, 2024",512,514.75,512,514.5,514.5,42,5,26,05/15/2026
"May 09, 2024",510,510,510,510,510,7,5,26,05/15/2026
"May 08, 2024",510.75,510.75,510,510,510,19,5,26,05/15/2026
"May 07, 2024",513.75,513.75,513.75,513.75,513.75,-,5,26,05/15/2026
"May 06, 2024",513.25,513.25,513.25,513.25,513.25,63,5,26,05/15/2026
"May 03, 2024",510,512.25,510,510.75,510.75,39,5,26,05/15/2026
"May 02, 2024",508.25,508.25,508.25,508.25,508.25,41,5,26,05/15/2026
"May 01, 2024",500.25,501.5,500.25,501.5,501.5,4,5,26,05/15/2026
"Apr 30, 2024",500,500,500,500,500,2,5,26,05/15/2026
"Apr 29, 2024",501.75,501.75,501.75,501.75,501.75,13,5,26,05/15/2026
"Apr 26, 2024",503,503,503,503,503,50,5,26,05/15/2026
"Apr 25, 2024",502.5,503.5,501.25,503.5,503.5,6,5,26,05/15/2026
"Apr 24, 2024",500.75,500.75,500.75,500.75,500.75,-,5,26,05/15/2026
"Apr 23, 2024",500,503.75,500,502.25,502.25,4,5,26,05/15/2026
"Apr 22, 2024",503,503,503,503,503,3,5,26,05/15/2026
"Apr 19, 2024",498,498,498,498,498,7,5,26,05/15/2026
"Apr 18, 2024",498,498,494.5,494.5,494.5,8,5,26,05/15/2026
"Apr 17, 2024",498.75,498.75,498.75,498.75,498.75,-,5,26,05/15/2026
"Apr 16, 2024",501,501,501,501,501,2,5,26,05/15/2026
"Apr 15, 2024",502.5,502.5,502.5,502.5,502.5,-,5,26,05/15/2026
"Apr 12, 2024",503,504,503,504,504,6,5,26,05/15/2026
"Apr 11, 2024",501.25,501.25,501.25,501.25,501.25,-,5,26,05/15/2026
"Apr 10, 2024",501.5,501.5,501.5,501.5,501.5,-,5,26,05/15/2026
"Apr 09, 2024",499.75,499.75,499.75,499.75,499.75,6,5,26,05/15/2026
"Apr 08, 2024",503.75,503.75,503.75,503.75,503.75,4,5,26,05/15/2026
"Apr 05, 2024",505,505,502.75,502.75,502.75,2,5,26,05/15/2026
"Apr 04, 2024",502.25,502.25,502.25,502.25,502.25,4,5,26,05/15/2026
"Apr 03, 2024",501.75,501.75,501.75,501.75,501.75,1,5,26,05/15/2026
"Apr 02, 2024",499.75,499.75,499.75,499.75,499.75,-,5,26,05/15/2026
"Apr 01, 2024",500,501.75,500,501.75,501.75,5,5,26,05/15/2026
"Mar 28, 2024",505,505,502.5,502.5,502.5,2,5,26,05/15/2026
"Mar 27, 2024",494.5,494.5,492.25,492.25,492.25,1,5,26,05/15/2026
"Mar 26, 2024",502,502,496.75,496.75,496.75,1,5,26,05/15/2026
"Mar 25, 2024",502,502,502,502,502,-,5,26,05/15/2026
"Mar 22, 2024",502.25,502.25,502.25,502.25,502.25,-,5,26,05/15/2026
"Mar 21, 2024",503,503,503,503,503,-,5,26,05/15/2026
"Mar 20, 2024",501.25,501.25,501.25,501.25,501.25,-,5,26,05/15/2026
"Mar 19, 2024",498.5,498.5,498.5,498.5,498.5,-,5,26,05/15/2026
"Mar 18, 2024",497.25,497.25,497.25,497.25,497.25,-,5,26,05/15/2026
"Mar 15, 2024",497.25,497.25,497.25,497.25,497.25,-,5,26,05/15/2026
"Mar 14, 2024",495.25,495.25,495.25,495.25,495.25,-,5,26,05/15/2026
"Mar 13, 2024",497,497,497,497,497,-,5,26,05/15/2026
"Mar 12, 2024",498,498,496.75,496.75,496.75,2,5,26,05/15/2026
"Mar 11, 2024",497.25,497.25,497.25,497.25,497.25,-,5,26,05/15/2026
"Mar 08, 2024",495,496.75,495,496.75,496.75,4,5,26,05/15/2026
"Mar 07, 2024",493.75,493.75,493.75,493.75,493.75,-,5,26,05/15/2026
"Mar 06, 2024",486.75,486.75,486.75,486.75,486.75,-,5,26,05/15/2026
"Mar 05, 2024",486.25,486.25,486.25,486.25,486.25,-,5,26,05/15/2026
"Mar 04, 2024",489.75,489.75,489.75,489.75,489.75,-,5,26,05/15/2026
"Mar 01, 2024",487.25,487.25,487.25,487.25,487.25,-,5,26,05/15/2026
"Feb 29, 2024",488.5,488.5,488.5,488.5,488.5,-,5,26,05/15/2026
"Feb 28, 2024",487.5,487.5,487.5,487.5,487.5,-,5,26,05/15/2026
"Feb 27, 2024",485.25,485.25,485.25,485.25,485.25,-,5,26,05/15/2026
"Feb 26, 2024",485,485,485,485,485,-,5,26,05/15/2026
"Feb 23, 2024",482.5,482.5,482.5,482.5,482.5,8,5,26,05/15/2026
"Feb 22, 2024",486.25,486.25,486.25,486.25,486.25,-,5,26,05/15/2026
"Feb 21, 2024",487.75,487.75,487.75,487.75,487.75,-,5,26,05/15/2026
"Feb 20, 2024",491.75,491.75,491.25,491.25,491.25,2,5,26,05/15/2026
"Feb 16, 2024",486.5,490,486.5,490,490,2,5,26,05/15/2026
"Feb 15, 2024",488.25,488.25,488.25,488.25,488.25,5,5,26,05/15/2026
"Feb 14, 2024",492.5,492.5,492.5,492.5,492.5,3,5,26,05/15/2026
"Feb 13, 2024",497.75,497.75,497.75,497.75,497.75,-,5,26,05/15/2026
"Feb 12, 2024",496,496,496,496,496,-,5,26,05/15/2026
"Feb 09, 2024",493.75,493.75,493.75,493.75,493.75,-,5,26,05/15/2026
"Feb 08, 2024",495.75,495.75,495.75,495.75,495.75,2,5,26,05/15/2026
"Feb 07, 2024",497,497,497,497,497,4,5,26,05/15/2026
"Feb 06, 2024",500,500,499.75,499.75,499.75,2,5,26,05/15/2026
"Feb 05, 2024",499.5,499.5,499.5,499.5,499.5,-,5,26,05/15/2026
"Feb 02, 2024",495.25,500,495.25,499.25,499.25,3,5,26,05/15/2026
"Feb 01, 2024",499.5,499.5,499.5,499.5,499.5,2,5,26,05/15/2026
"Jan 31, 2024",500,500,499.5,499.5,499.5,4,5,26,05/15/2026
"Jan 30, 2024",499.5,499.5,499.5,499.5,499.5,-,5,26,05/15/2026
"Jan 29, 2024",499,499,499,499,499,8,5,26,05/15/2026
"Jan 26, 2024",496.5,496.5,496.5,496.5,496.5,-,5,26,05/15/2026
"Jan 25, 2024",498.5,498.5,498.5,498.5,498.5,-,5,26,05/15/2026
"Jan 24, 2024",500,500,499.5,499.5,499.5,13,5,26,05/15/2026
"Jan 23, 2024",494.5,494.5,494.5,494.5,494.5,-,5,26,05/15/2026
"Jan 22, 2024",491.5,493.75,491.5,493.75,493.75,1,5,26,05/15/2026
"Jan 19, 2024",492.5,492.5,492.5,492.5,492.5,-,5,26,05/15/2026
"Jan 18, 2024",493,493.5,493,493.5,493.5,21,5,26,05/15/2026
"Jan 17, 2024",496.25,496.25,496.25,496.25,496.25,-,5,26,05/15/2026
"Jan 16, 2024",496.25,496.25,496.25,496.25,496.25,-,5,26,05/15/2026
"Jan 12, 2024",500.75,500.75,500.75,500.75,500.75,-,5,26,05/15/2026
"Jan 11, 2024",504,504,504,504,504,-,5,26,05/15/2026
"Jan 10, 2024",506,506,505.75,505.75,505.75,1,5,26,05/15/2026
"Jan 09, 2024",506.25,506.25,506.25,506.25,506.25,-,5,26,05/15/2026
"Jan 08, 2024",500,502.25,500,502.25,502.25,1,5,26,05/15/2026
"Jan 05, 2024",504.25,504.25,504.25,504.25,504.25,1,5,26,05/15/2026
"Jan 04, 2024",507.5,507.5,507.5,507.5,507.5,-,5,26,05/15/2026
"Jan 03, 2024",507.25,507.25,507.25,507.25,507.25,-,5,26,05/15/2026
"Jan 02, 2024",508.5,508.5,508.5,508.5,508.5,-,5,26,05/15/2026
"Dec 29, 2023",519,519,519,519,519,-,5,26,05/15/2026
"Dec 28, 2023",519.25,519.25,519.25,519.25,519.25,-,5,26,05/15/2026
"Dec 27, 2023",520.75,520.75,520.75,520.75,520.75,-,5,26,05/15/2026
"Dec 26, 2023",523,523,523,523,523,-,5,26,05/15/2026
"Dec 22, 2023",519.5,519.5,519.5,519.5,519.5,-,5,26,05/15/2026
"Dec 21, 2023",518.5,518.5,518.5,518.5,518.5,-,5,26,05/15/2026
