Date,Open,High,Low,Close,Adj Close,Volume,Maturity Month,Maturity Year,Maturity Date
"May 17, 2024",489.25,490.25,485.75,486.25,486.25,664,9,25,09/15/2025
"May 16, 2024",492.75,494,488.5,489.25,489.25,664,9,25,09/15/2025
"May 15, 2024",496.5,498.5,491.5,492.75,492.75,"1,349",9,25,09/15/2025
"May 14, 2024",494.25,497.75,494.25,495.75,495.75,499,9,25,09/15/2025
"May 13, 2024",495.25,497.25,493.75,495.75,495.75,903,9,25,09/15/2025
"May 10, 2024",491,496.5,491,496.25,496.25,807,9,25,09/15/2025
"May 09, 2024",489.5,492.5,488,490.5,490.5,"1,861",9,25,09/15/2025
"May 08, 2024",492.75,493,488.75,490,490,"1,080",9,25,09/15/2025
"May 07, 2024",493.5,495,492.25,493.5,493.5,432,9,25,09/15/2025
"May 06, 2024",487.5,494,486.25,493,493,380,9,25,09/15/2025
"May 03, 2024",488,491.75,488,490.25,490.25,560,9,25,09/15/2025
"May 02, 2024",481,487.5,481,487.25,487.25,354,9,25,09/15/2025
"May 01, 2024",478.75,482.75,477.25,482.75,482.75,63,9,25,09/15/2025
"Apr 30, 2024",480,483.25,478.5,480.75,480.75,166,9,25,09/15/2025
"Apr 29, 2024",483.25,483.25,480.75,482.5,482.5,111,9,25,09/15/2025
"Apr 26, 2024",485,485.75,483,483.75,483.75,416,9,25,09/15/2025
"Apr 25, 2024",481.75,486,480.75,485.75,485.75,340,9,25,09/15/2025
"Apr 24, 2024",485.25,485.25,482.25,483.25,483.25,239,9,25,09/15/2025
"Apr 23, 2024",484.75,486,484.25,484.25,484.25,165,9,25,09/15/2025
"Apr 22, 2024",480.5,485,480.5,484.5,484.5,106,9,25,09/15/2025
"Apr 19, 2024",477.25,479.75,476.5,479.5,479.5,92,9,25,09/15/2025
"Apr 18, 2024",478.75,478.75,475.25,475.5,475.5,38,9,25,09/15/2025
"Apr 17, 2024",482,482.25,480.25,480.25,480.25,34,9,25,09/15/2025
"Apr 16, 2024",481.5,483.25,481.5,482.5,482.5,158,9,25,09/15/2025
"Apr 15, 2024",485,485,484.75,485,485,1,9,25,09/15/2025
"Apr 12, 2024",484,487,484,486.75,486.75,79,9,25,09/15/2025
"Apr 11, 2024",484.25,486.75,482,483.75,483.75,620,9,25,09/15/2025
"Apr 10, 2024",484.25,485,482.25,485,485,846,9,25,09/15/2025
"Apr 09, 2024",486,486.25,482.25,483.5,483.5,369,9,25,09/15/2025
